epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2499.37,1.14954,0.72154,0.00286,0.88562,0.69388,0.74995,0.57317,1.18046,0.72465,0.00379,3.9264e-05,3.9264e-05,3.9264e-05
91,2524.32,1.07432,0.61109,0.00264,0.84173,0.70655,0.74526,0.56992,1.18232,0.7324,0.00381,3.4227e-05,3.4227e-05,3.4227e-05
92,2547.41,1.07383,0.61881,0.00263,0.84091,0.71205,0.74586,0.57016,1.18493,0.73199,0.00381,2.96546e-05,2.96546e-05,2.96546e-05
93,2570.46,1.07473,0.622,0.00268,0.85063,0.70499,0.74603,0.57198,1.1819,0.72894,0.0038,2.55513e-05,2.55513e-05,2.55513e-05
94,2593.63,1.07391,0.61742,0.00268,0.85762,0.70107,0.7473,0.57199,1.18122,0.72791,0.0038,2.19212e-05,2.19212e-05,2.19212e-05
95,2616.62,1.06774,0.61288,0.00263,0.8513,0.70229,0.74791,0.57344,1.17941,0.72717,0.00379,1.87678e-05,1.87678e-05,1.87678e-05
96,2639.67,1.07137,0.61125,0.00262,0.84944,0.70862,0.74722,0.57247,1.1825,0.7282,0.0038,1.60943e-05,1.60943e-05,1.60943e-05
97,2662.74,1.06859,0.60543,0.00261,0.83028,0.72098,0.74827,0.57338,1.17947,0.72526,0.00379,1.39032e-05,1.39032e-05,1.39032e-05
98,2685.8,1.06935,0.61472,0.00263,0.82843,0.71949,0.74924,0.57439,1.17988,0.72762,0.00379,1.21968e-05,1.21968e-05,1.21968e-05
99,2708.99,1.06733,0.61337,0.00262,0.8314,0.72173,0.74904,0.57464,1.17996,0.7281,0.00379,1.09768e-05,1.09768e-05,1.09768e-05
100,2731.89,1.0637,0.60819,0.00262,0.83268,0.71766,0.7494,0.57468,1.17917,0.72508,0.00379,1.02443e-05,1.02443e-05,1.02443e-05
